run_id,sensor_time_s,reference_time_s,c1,c2,c3,Fx_ref,Fy_ref,Fz_ref
development_01,0.000,0.001,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000
development_01,0.010,0.011,0.7071,0.7071,1.0000,0.7071,0.7071,1.0000
development_01,0.020,0.021,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000
development_01,0.030,0.031,0.7071,-0.7071,-1.0000,0.7071,-0.7071,-1.0000
development_01,0.040,0.041,0.0000,-1.0000,0.0000,0.0000,-1.0000,0.0000
development_01,0.050,0.051,-0.7071,-0.7071,1.0000,-0.7071,-0.7071,1.0000
development_01,0.060,0.061,-1.0000,0.0000,0.0000,-1.0000,0.0000,0.0000
development_01,0.070,0.071,-0.7071,0.7071,-1.0000,-0.7071,0.7071,-1.0000
development_02,0.000,0.001,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000
development_02,0.010,0.011,0.7071,0.7071,1.0000,0.7071,0.7071,1.0000
development_02,0.020,0.021,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000
development_02,0.030,0.031,0.7071,-0.7071,-1.0000,0.7071,-0.7071,-1.0000
development_02,0.040,0.041,0.0000,-1.0000,0.0000,0.0000,-1.0000,0.0000
development_02,0.050,0.051,-0.7071,-0.7071,1.0000,-0.7071,-0.7071,1.0000
development_02,0.060,0.061,-1.0000,0.0000,0.0000,-1.0000,0.0000,0.0000
development_02,0.070,0.071,-0.7071,0.7071,-1.0000,-0.7071,0.7071,-1.0000
development_03,0.000,0.001,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000
development_03,0.010,0.011,0.7071,0.7071,1.0000,0.7071,0.7071,1.0000
development_03,0.020,0.021,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000
development_03,0.030,0.031,0.7071,-0.7071,-1.0000,0.7071,-0.7071,-1.0000
development_03,0.040,0.041,0.0000,-1.0000,0.0000,0.0000,-1.0000,0.0000
development_03,0.050,0.051,-0.7071,-0.7071,1.0000,-0.7071,-0.7071,1.0000
development_03,0.060,0.061,-1.0000,0.0000,0.0000,-1.0000,0.0000,0.0000
development_03,0.070,0.071,-0.7071,0.7071,-1.0000,-0.7071,0.7071,-1.0000
test_01,0.000,0.001,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000
test_01,0.010,0.011,0.7071,0.7071,1.0000,0.7071,0.7071,1.0000
test_01,0.020,0.021,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000
test_01,0.030,0.031,0.7071,-0.7071,-1.0000,0.7071,-0.7071,-1.0000
test_01,0.040,0.041,0.0000,-1.0000,0.0000,0.0000,-1.0000,0.0000
test_01,0.050,0.051,-0.7071,-0.7071,1.0000,-0.7071,-0.7071,1.0000
test_01,0.060,0.061,-1.0000,0.0000,0.0000,-1.0000,0.0000,0.0000
test_01,0.070,0.071,-0.7071,0.7071,-1.0000,-0.7071,0.7071,-1.0000
